Fecha,Tipo,Precio Entrada,Cantidad,Take Profit,Stop Loss,Resultado,PnL
2025-08-01 03:51:38,short,4.113,9.47,4.051,4.164,SL,-0.48297
2025-08-01 07:51:43,long,4.239,9.94,4.294,4.197,SL,-0.41748
2025-08-01 17:31:52,short,4.134,6.21,4.05,4.19,TP,0.52164
2025-08-02 00:44:28,long,4.192,17.41,4.222,4.17,SL,-0.38302
2025-08-02 01:41:21,short,4.113,16.15,4.081,4.137,TP,0.50065
2025-08-02 02:21:00,short,4.083,13.07,4.043,4.114,SL,-0.12183
2025-08-02 12:18:31,short,4.072,9.54,4.015,4.112,SL,-0.1076
2025-08-02 16:04:54,short,4.055,7.82,3.988,4.102,SL,-0.37536
2025-08-02 19:43:53,short,4.036,7.55,3.971,4.078,SL,-0.05934
